id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN058,need a nUt-frEe recipe using tomatoes and chickpeas in 40 mins,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, avocado, tomatoes"",""CuisinePreference"":""avoid_specific: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN059,chickpeas avocado tomatoes meal ideas plz!,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, avocado, tomatoes"",""CuisinePreference"":""avoid_specific: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN060,whats an intermediate nut free dish that has chickpeas and avocado?,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, avocado, tomatoes"",""CuisinePreference"":""avoid_specific: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN061,can you suggest a quick pescatarian dish from japanese cuisine that I can make in under 30 mins,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN062,looking for a simple japanese recipe that uses pantry staples and is easy since I'm a beginner,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN063,NEED a quick and easy JAPANESE seafood recipe can you help?,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN064,whats a fast and low-effort example of a pescatarian meal that’s japanese,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN065,"help pls 😅 I want to make a simple japanese dish with what I have in the pantry, something pescatarian and quick","{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: japanese"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN066,do you have a quick and easy dairy free indian recipe i can whip up in under 30 mins?,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN067,looking for a simple dairy-free dish from indian cuisine that doesn't take too much time,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN068,need a low effort recipe for an indian dish that is dairy free and ready fast,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN069,hey can u suggest a quick dairy free indian recipe? like under 30 mins pls! 😊,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
